y_true,y_pred,y_score
0,0,0.0
0,0,0.0
0,0,0.034280936454849496
0,0,0.0
0,0,0.0
1,1,0.9896338867603234
0,0,0.0
0,0,0.1
0,0,0.0
0,0,0.0
0,0,0.24166666666666664
0,0,0.0
0,0,0.0
1,1,0.9565324815708841
0,0,0.0
1,1,0.9774358974358975
1,1,0.9739130434782609
0,0,0.0
1,1,0.7945945945945946
1,1,0.9
0,0,0.0
0,0,0.0
1,1,0.8913580246913579
0,0,0.0
1,1,1.0
0,0,0.0
1,1,1.0
1,1,1.0
1,1,0.9990384615384615
0,0,0.0
1,1,1.0
1,1,0.90114182326826
1,1,0.9
0,0,0.0
0,0,0.0
0,0,0.028846153846153844
1,1,0.9
0,0,0.0
1,1,0.9866666666666667
1,1,1.0
0,0,0.25
1,1,0.9199294532627865
1,1,0.9893231593662627
0,0,0.0
1,1,0.9990384615384615
1,1,0.9990384615384615
1,1,0.9
1,1,0.9870101986044014
1,1,0.9990384615384615
0,0,0.0
0,0,0.0
0,0,0.1
1,1,0.8362077213267689
1,1,0.9741379310344828
1,1,0.8607142857142858
1,1,0.8893231593662627
0,1,0.9947901049475263
1,1,0.9990384615384615
1,1,0.9991379310344828
1,1,0.9965738284703802
0,0,0.0
0,0,0.0
1,1,0.8
0,1,0.9892857142857142
1,1,1.0
0,0,0.20833333333333334
1,1,0.9777777777777779
0,0,0.2
0,0,0.0
1,1,0.6952380952380952
1,1,0.9744975262832405
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,0.9990384615384615
1,1,1.0
0,0,0.1
1,1,0.823707721326769
1,1,0.7450222176412653
1,1,0.9955731593662627
1,1,1.0
0,0,0.0
0,0,0.1
0,0,0.0
0,0,0.19166666666666665
0,0,0.10384615384615385
0,1,0.894411269449672
1,1,0.8896338867603235
0,0,0.0
0,1,0.9965738284703802
1,1,1.0
1,1,0.9990384615384615
0,0,0.18666666666666668
1,1,0.9991379310344828
0,0,0.0
1,1,0.9990384615384615
1,1,0.9932555780933063
0,0,0.0
1,1,0.9741379310344828
0,0,0.0
1,1,0.8166131267321743
1,1,0.907349696635411
1,1,1.0
1,1,0.5166131267321743
0,0,0.0
0,0,0.0
1,1,1.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,0.9991379310344828
1,1,0.7384204860395337
0,0,0.0
1,1,0.6884204860395337
1,1,0.8
