log_entropy,IR_norm_range,entropy_x_contrast,class
-0.9467499135856681,-0.11718276321015444,0.43487040000000005,1
-3.2754459118063655,0.06785380710659897,16.7052375,0
-3.6008682104909235,0.13220518134715029,28.41168057,0
-3.7898049302261185,0.15236706586826348,21.354552419999997,0
-3.007804652359131,0.10127591623036655,6.9116775,0
-2.6036900506428413,0.24727410071942454,39.92823919999999,0
-0.29437104717975876,0.002598775510204043,0.11175,0
-3.58271889857338,0.0705396825396825,20.816639999999996,0
-3.4295965475419257,0.13943928571428577,14.654115,0
-3.844363889664721,0.22296424242424237,22.416857379999996,0
-2.253794833586523,0.19025687956243212,11.25075,1
-3.9271361356241097,0.2528477419354838,26.285552399999997,0
-1.4562876900403836,-0.5580168630328538,1.55885625,1
-1.4709811257520398,0.22887036427674823,17.46007125,1
-2.8217787983633404,-1.115147381915339,5.39665,1
-1.9193655256668776,0.9007286618796646,27.792315,1
-3.066154523258285,-1.012845883676503,7.85870322,1
-2.845589443007247,-0.75884920829319,8.48961848,1
-3.3813944602483716,0.30125126582278483,12.802275000000002,0
-2.041760397670548,-1.4819469263013747,2.3282875,1
-3.5613657817023627,0.16239554140127396,16.975980720000003,0
-4.233605939900674,0.24498805031446544,46.56639185,0
-3.189316779908239,0.0938620689655172,30.596665,0
-3.9845931606287173,0.1995246987951808,32.097095579999994,0
-2.9299443457500876,-2.021608061841907,6.19017072,1
-1.7350010787201053,-0.12532895249783765,1.642725,1
-2.3517752321428063,-0.6335791119063778,4.27844984,1
-2.8473120960219394,-4.726747379754345,9.9711686,1
-1.7573579845397098,0.010469369369369326,5.3439119999999996,0
-1.0097775475177153,0.023437442922374443,2.2313375,0
-1.0356374613377077,0.03279999999999995,131.326357,0
-3.1748587002170052,0.06827812499999997,8.220492499999999,0
-1.2906205747011907,-0.2922387209790513,0.7278595800000001,1
-3.0554820656455624,0.10607515527950315,31.246535640000005,0
-0.829883681202896,-0.15073229112821726,0.39610963,1
-3.2114035618905725,0.07434462365591402,11.37820125,0
-0.8449007125100151,1.0101327613623765,1.42842,1
-4.006333135448989,0.2943284810126581,26.102139700000002,0
-2.855970157265804,-0.32397074644545326,7.4805085,1
-2.2985929721229197,0.020126905829596455,5.58266168,0
-2.3816281921093965,-3.9736633270508883,4.40016192,1
-2.6104697367089336,-1.640622675835555,4.87611495,0
-2.4817116392742635,-1.541859966622265,4.32212,1
-0.025010152750912354,0.017295549444953602,0.01219125,1
-4.173387120212115,0.22658562874251495,35.53980122,0
-3.6848870344381037,0.12764078212290506,21.10795042,0
-2.3957973649467466,0.09282134146341466,57.206245,0
-2.2424310760123443,-0.6151998969934979,3.0890925,1
-2.45224575140444,-0.48724744680488863,3.7539599999999997,1
-0.3149847412774056,0.003327572016460957,0.20376016,0
-2.12779171865783,-0.5228794609582302,3.7417289699999996,1
-2.553613719263095,0.028026905829596414,5.370145,0
-2.193730598395869,-0.498547650347236,3.86161295,1
-2.5408421552147584,1.434258760461969,5.556385,1
-0.671777135246619,0.0048226337448559415,0.93644964,0
-1.7873690611896074,-0.39047974524246615,1.6133174999999997,1
-3.8304425576063363,0.27658774193548397,28.56289625,0
-3.6458195815118,0.1046876470588235,30.013478370000005,0
-3.0037642436383725,0.18951446540880504,15.368356639999998,0
-0.9942522463168403,-0.19050719258887588,0.511821,1
-2.4281482025907133,-0.3623387969049006,3.78194544,1
-2.7060520487389494,0.051070370370370356,36.53069556,0
-2.5383072999328453,-0.7492214570029494,5.016831799999999,1
-0.2157956012431841,0.005155465587044572,0.09735272,0
-3.6928870739051303,0.1653410714285714,32.09537292,0
-2.9113909412967276,0.042270531400966184,19.326279999999997,0
-3.513246549900365,0.17762229299363053,19.75826718,0
-3.619353018331067,0.29644117647058826,17.37600244,0
-3.2089252464903106,-2.4435735664606706,9.65492532,1
-3.615628620627201,0.1703561728395062,18.153801249999997,0
-2.8117452710516377,0.07228882352941171,22.65795242,0
-3.0834709695214104,-0.38083463131374756,8.25316,1
-0.9021412841209806,-0.19131114930186863,0.44627000000000006,1
-2.7045561623711345,-0.43538964617702164,6.44693223,1
-3.396209541643698,0.3037548387096774,33.590450000000004,0
-0.9288694887645598,0.010686792452830218,8.8611535,0
-3.5613657817023627,0.19754102564102555,24.77403284,0
-0.0418641936711702,0.020804689099810897,0.06396529999999999,1
-2.015903445800776,0.3935694169615661,7.656229440000001,1
-3.4203798952685784,0.08524462365591401,24.9770775,0
-1.8432632489239786,-0.3791996546878237,5.08274389,1
-3.780994304425347,0.13958023255813956,27.128865,0
